Crank_angle,Volume,cf_value,density,viscosity,mass_of_fuel,load,pressure,Fuel
1,40.16,42500,840,2.49,0.00028,10.44,1.45,Diesel
2,40.34,42500,840,2.49,0.00028,10.44,1.45,Diesel
3,40.65,42500,840,2.49,0.00028,10.44,1.42,Diesel
4,41.09,42500,840,2.49,0.00028,10.44,1.38,Diesel
5,41.65,42500,840,2.49,0.00028,10.44,1.38,Diesel
6,42.33,42500,840,2.49,0.00028,10.44,1.31,Diesel
7,43.14,42500,840,2.49,0.00028,10.44,1.25,Diesel
8,44.07,42500,840,2.49,0.00028,10.44,1.25,Diesel
9,45.12,42500,840,2.49,0.00028,10.44,1.18,Diesel
10,46.29,42500,840,2.49,0.00028,10.44,1.15,Diesel
11,47.59,42500,840,2.49,0.00028,10.44,1.04,Diesel
12,49,42500,840,2.49,0.00028,10.44,1.04,Diesel
13,50.54,42500,840,2.49,0.00028,10.44,1.01,Diesel
14,52.19,42500,840,2.49,0.00028,10.44,0.91,Diesel
15,53.97,42500,840,2.49,0.00028,10.44,0.94,Diesel
16,55.86,42500,840,2.49,0.00028,10.44,0.94,Diesel
17,57.87,42500,840,2.49,0.00028,10.44,0.91,Diesel
18,60,42500,840,2.49,0.00028,10.44,0.94,Diesel
19,62.24,42500,840,2.49,0.00028,10.44,0.94,Diesel
20,64.59,42500,840,2.49,0.00028,10.44,0.94,Diesel
21,67.06,42500,840,2.49,0.00028,10.44,0.91,Diesel
22,69.64,42500,840,2.49,0.00028,10.44,0.91,Diesel
23,72.33,42500,840,2.49,0.00028,10.44,0.91,Diesel
24,75.13,42500,840,2.49,0.00028,10.44,0.88,Diesel
25,78.04,42500,840,2.49,0.00028,10.44,0.84,Diesel
26,81.06,42500,840,2.49,0.00028,10.44,0.88,Diesel
27,84.18,42500,840,2.49,0.00028,10.44,0.84,Diesel
28,87.4,42500,840,2.49,0.00028,10.44,0.91,Diesel
29,90.73,42500,840,2.49,0.00028,10.44,0.91,Diesel
30,94.16,42500,840,2.49,0.00028,10.44,0.91,Diesel
31,97.68,42500,840,2.49,0.00028,10.44,0.91,Diesel
32,101.31,42500,840,2.49,0.00028,10.44,0.91,Diesel
33,105.03,42500,840,2.49,0.00028,10.44,0.91,Diesel
34,108.85,42500,840,2.49,0.00028,10.44,0.91,Diesel
35,112.76,42500,840,2.49,0.00028,10.44,0.91,Diesel
36,116.75,42500,840,2.49,0.00028,10.44,0.94,Diesel
37,120.84,42500,840,2.49,0.00028,10.44,0.91,Diesel
38,125.02,42500,840,2.49,0.00028,10.44,0.94,Diesel
39,129.28,42500,840,2.49,0.00028,10.44,0.94,Diesel
40,133.63,42500,840,2.49,0.00028,10.44,0.91,Diesel
41,138.05,42500,840,2.49,0.00028,10.44,0.94,Diesel
42,142.56,42500,840,2.49,0.00028,10.44,0.91,Diesel
43,147.15,42500,840,2.49,0.00028,10.44,0.94,Diesel
44,151.81,42500,840,2.49,0.00028,10.44,0.94,Diesel
45,156.54,42500,840,2.49,0.00028,10.44,0.94,Diesel
46,161.35,42500,840,2.49,0.00028,10.44,0.94,Diesel
47,166.22,42500,840,2.49,0.00028,10.44,0.94,Diesel
48,171.16,42500,840,2.49,0.00028,10.44,0.94,Diesel
49,176.17,42500,840,2.49,0.00028,10.44,0.94,Diesel
50,181.24,42500,840,2.49,0.00028,10.44,0.94,Diesel
51,186.37,42500,840,2.49,0.00028,10.44,0.94,Diesel
52,191.56,42500,840,2.49,0.00028,10.44,0.94,Diesel
53,196.81,42500,840,2.49,0.00028,10.44,0.91,Diesel
54,202.11,42500,840,2.49,0.00028,10.44,0.94,Diesel
55,207.46,42500,840,2.49,0.00028,10.44,0.94,Diesel
56,212.87,42500,840,2.49,0.00028,10.44,0.94,Diesel
57,218.32,42500,840,2.49,0.00028,10.44,0.94,Diesel
58,223.81,42500,840,2.49,0.00028,10.44,0.94,Diesel
59,229.35,42500,840,2.49,0.00028,10.44,0.94,Diesel
60,234.93,42500,840,2.49,0.00028,10.44,0.94,Diesel
61,240.55,42500,840,2.49,0.00028,10.44,0.94,Diesel
62,246.21,42500,840,2.49,0.00028,10.44,0.94,Diesel
63,251.9,42500,840,2.49,0.00028,10.44,0.94,Diesel
64,257.62,42500,840,2.49,0.00028,10.44,0.94,Diesel
65,263.37,42500,840,2.49,0.00028,10.44,0.94,Diesel
