fuel,fuel1,fuel2,brake power ,heat power ,efficiency
BUTANOL 10,28.18,2.818,3.12,17.36958652,17.96243104
,27.43,2.743,3.12,16.90730157,18.45356568
,41.24,4.124,3.12,25.41950845,12.2740375
,26.28,2.628,3.12,16.19846465,19.26108472
,33.83,3.383,3.12,20.85213314,14.96249798
,22.041,2.2041,3.12,13.58563011,22.96544198
,27.756,2.7756,3.12,17.10824143,18.23682471
,26.955,2.6955,3.12,16.6145211,18.77875372
,22.4,2.24,3.12,13.80691051,22.59737976
,23.429,2.3429,3.12,14.44116546,21.60490446
,21.522,2.1522,3.12,13.26572893,23.51925038
,28.042,2.8042,3.12,17.28452609,18.05082756
,35.945,3.5945,3.12,22.1557767,14.08210618
,24.288,2.4288,3.12,14.97063582,20.8407982
,25.298,2.5298,3.12,15.59317955,20.00874799
,30.807,3.0807,3.12,18.98881661,16.43072375
,22.616,2.2616,3.12,13.94004857,22.3815576
,25.935,2.5935,3.12,15.98581357,19.51730505
,22.008,2.2008,3.12,13.56528957,22.99987762
,23.886,2.3886,3.12,14.72285109,21.19154763
,33.264,3.3264,3.12,20.5032621,15.21709075
,29.072,2.9072,3.12,17.91939742,17.41129976
,24.983,2.4983,3.12,15.39901987,20.26102976
,32.508,3.2508,3.12,20.03727887,15.57097658
,27.12,2.712,3.12,16.71622379,18.66450245
,25.935,2.5935,3.12,15.98581357,19.51730505
,,,,,
DIESEL,28.18,0,3.12,16.7671,18.60786898
,27.43,0,3.12,16.32085,19.1166514
,41.24,0,3.12,24.5378,12.71507633
,26.28,0,3.12,15.6366,19.95318675
,33.83,0,3.12,20.12885,15.50014035
,22.041,0,3.12,13.114395,23.79065142
,27.756,0,3.12,16.51482,18.89212235
,26.955,0,3.12,16.038225,19.45352431
,22.4,0,3.12,13.328,23.40936375
,23.429,0,3.12,13.940255,22.38122617
,28.042,0,3.12,16.68499,18.69944183
,35.945,0,3.12,21.387275,14.58811373
,24.288,0,3.12,14.45136,21.58966353
,25.298,0,3.12,15.05231,20.72771555
,30.807,0,3.12,18.330165,17.02112338
,22.616,0,3.12,13.45652,23.18578652
,25.935,0,3.12,15.431325,20.21861376
,22.008,0,3.12,13.09476,23.82632442
,23.886,0,3.12,14.21217,21.95301632
,33.264,0,3.12,19.79208,15.76388131
,29.072,0,3.12,17.29784,18.03693409
,24.983,0,3.12,14.864885,20.98906248
,32.508,0,3.12,19.34226,16.1304832
,27.12,0,3.12,16.1364,19.3351677
,25.935,0,3.12,15.431325,20.21861376
,,,,,
CNSL,28.18,0,3.12,16.10787587,19.36940678
,27.43,0,3.12,15.67917087,19.89901141
,41.24,0,3.12,23.57305893,13.23544818
,26.28,0,3.12,15.0218232,20.76978246
,33.83,0,3.12,19.33745353,16.13449255
,27.756,0,3.12,15.86551464,19.66529338
,26.955,0,3.12,15.4076577,20.24967105
,23.429,0,3.12,13.39217259,23.29719079
,28.042,0,3.12,16.02899415,19.4647273
,35.945,0,3.12,20.54640163,15.18514072
,24.288,0,3.12,13.88318272,22.473233
,25.298,0,3.12,14.46050545,21.57600929
,30.807,0,3.12,17.60948658,17.71772269
,25.935,0,3.12,14.8246189,21.04607222
