fuel,fuel1,fuel2,brake power ,heat power ,efficiency
BUTANOL 10,28.18,2.818,4.16,17.36958652,23.94990805
,41.24,4.124,4.16,25.41950845,16.36538334
,33.83,3.383,4.16,20.85213314,19.9499973
,35.945,3.5945,4.16,22.1557767,18.77614157
,30.807,3.0807,4.16,18.98881661,21.90763167
,33.264,3.3264,4.16,20.5032621,20.28945433
,29.072,2.9072,4.16,17.91939742,23.21506634
,32.508,3.2508,4.16,20.03727887,20.7613021
,,,,,
DIESEL,41.24,0,4.16,24.5378,16.95343511
,33.83,0,4.16,20.12885,20.66685379
,35.945,0,4.16,21.387275,19.4508183
,30.807,0,4.16,18.330165,22.69483117
,33.264,0,4.16,19.79208,21.01850841
,32.508,0,4.16,19.34226,21.50731093
,,,,,
CNSL,41.24,0,4.16,23.57305893,17.64726424
,33.83,0,4.16,19.33745353,21.51265674
,35.945,0,4.16,20.54640163,20.24685429
,30.807,0,4.16,17.60948658,23.62363026
,33.264,0,4.16,19.01392416,21.87870302
,32.508,0,4.16,18.58178952,22.38751007
,,,,,
CNSOME,41.24,0,4.16,23.92315904,17.38900784
,33.83,0,4.16,19.62464768,21.19783279
,35.945,0,4.16,20.85155072,19.95055455
,30.807,0,4.16,17.87101747,23.27791356
,33.264,0,4.16,19.29631334,21.55852222
,32.508,0,4.16,18.85776077,22.0598832
,,,,,
BUTANOL 20,28.18,5.636,4.16,18.63129718,22.32802129
,27.43,5.486,4.16,18.13543228,22.93852132
,41.24,8.248,4.16,27.26595797,15.25712027
,26.28,5.256,4.16,17.3751061,23.94229985
,33.83,6.766,4.16,22.36681276,18.59898433
,27.756,5.5512,4.16,18.35096822,22.66910362
,26.955,5.391,4.16,17.82138451,23.34274309
,28.042,5.6084,4.16,18.54005803,22.43790172
,35.945,7.189,4.16,23.76515177,17.50462206
,30.807,6.1614,4.16,20.36814663,20.42404778
,33.264,6.6528,4.16,21.99260004,18.91545334
,29.072,5.8144,4.16,19.22104583,21.64294304
,32.508,6.5016,4.16,21.49276823,19.3553476
,27.12,5.424,4.16,17.93047478,23.20072419
,,,,,
BUTANOL 30,28.18,8.454,4.16,19.89300783,20.91187032
,27.43,8.229,4.16,19.36356298,21.48364949
,41.24,12.372,4.16,29.11240749,14.28944
,26.28,7.884,4.16,18.55174754,22.42376353
,33.83,10.149,4.16,23.88149237,17.4193469
,27.756,8.3268,4.16,19.59369501,21.23131956
