fuel,fuel1,fuel2,brake power ,heat power ,efficiency
BUTANOL 10,26.28,2.628,5.2,16.19846465,32.10180787
,26.955,2.6955,5.2,16.6145211,31.29792287
,24.288,2.4288,5.2,14.97063582,34.73466366
,25.298,2.5298,5.2,15.59317955,33.34791331
,25.935,2.5935,5.2,15.98581357,32.52884176
,24.983,2.4983,5.2,15.39901987,33.76838294
,27.12,2.712,5.2,16.71622379,31.10750409
,25.935,2.5935,5.2,15.98581357,32.52884176
,,,,,
DIESEL,28.18,0,5.2,16.7671,31.01311497
,27.43,0,5.2,16.32085,31.86108567
,26.28,0,5.2,15.6366,33.25531126
,27.756,0,5.2,16.51482,31.48687058
,26.955,0,5.2,16.038225,32.42254052
,28.042,0,5.2,16.68499,31.16573639
,25.298,0,5.2,15.05231,34.54619258
,25.935,0,5.2,15.431325,33.6976896
,24.983,0,5.2,14.864885,34.9817708
,27.12,0,5.2,16.1364,32.22527949
,25.935,0,5.2,15.431325,33.6976896
,,,,,
CNSL,28.18,0,5.2,16.10787587,32.28234463
,27.43,0,5.2,15.67917087,33.16501902
,26.28,0,5.2,15.0218232,34.6163041
,27.756,0,5.2,15.86551464,32.77548896
,26.955,0,5.2,15.4076577,33.74945174
,28.042,0,5.2,16.02899415,32.44121217
,29.072,0,5.2,16.61774901,31.29184341
,27.12,0,5.2,15.5019728,33.54411769
,,,,,
CNSOME,28.18,0,5.2,16.34710528,31.8099132
,27.43,0,5.2,15.91203328,32.67967021
,26.28,0,5.2,15.24492288,34.10971666
,27.756,0,5.2,16.10114458,32.29584068
,26.955,0,5.2,15.63648768,33.25555014
,28.042,0,5.2,16.26705203,31.96645581
,25.935,0,5.2,15.04478976,34.56346073
,27.12,0,5.2,15.73220352,33.05322102
,25.935,0,5.2,15.04478976,34.56346073
,,,,,
BUTANOL 20,23.429,4.6858,5.2,15.49015832,33.56970208
,24.288,4.8576,5.2,16.05808892,32.38243371
,25.298,5.0596,5.2,16.72585365,31.08959404
,22.616,4.5232,5.2,14.95264077,34.77646577
,23.886,4.7772,5.2,15.79230534,32.9274282
,24.983,4.9966,5.2,16.5175904,31.48158948
,,,,,
BUTANOL 30,22.041,6.6123,5.2,15.55932525,33.42047239
,22.4,6.72,5.2,15.81275285,32.88484964
,23.429,7.0287,5.2,16.53915119,31.4405494
,21.522,6.4566,5.2,15.19294942,34.22640238
,22.616,6.7848,5.2,15.96523297,32.57077432
,22.008,6.6024,5.2,15.53602968,33.47058488
,,,,,
BUTANOL 40,20.11,8.044,5.2,15.09657164,34.4449066
,20.49,8.196,5.2,15.38183754,33.80610404
,22.041,8.8164,5.2,16.54617282,31.4272071
,21.522,8.6088,5.2,16.15655966,32.18506977
