fuel,fuel1,fuel2,brake power ,heat power ,efficiency
BUTANOL 10,16.46,1.646,2.08,10.1456137,20.5014705
,20.11,2.011,2.08,12.39540046,16.78041792
,28.18,2.818,2.08,17.36958652,11.97495402
,18.05,1.805,2.08,11.1256578,18.69552379
,20.49,2.049,2.08,12.62962483,16.46921446
,27.43,2.743,2.08,16.90730157,12.30237712
,41.24,4.124,2.08,25.41950845,8.182691668
,19.13,1.913,2.08,11.79134812,17.6400525
,26.28,2.628,2.08,16.19846465,12.84072315
,33.83,3.383,2.08,20.85213314,9.974998652
,17.658,1.7658,2.08,10.88403686,19.11055637
,22.041,2.2041,2.08,13.58563011,15.31029465
,27.756,2.7756,2.08,17.10824143,12.15788314
,26.955,2.6955,2.08,16.6145211,12.51916915
,15.264,1.5264,2.08,9.408423302,22.10784882
,18.224,1.8224,2.08,11.23290791,18.51702175
,22.4,2.24,2.08,13.80691051,15.06491984
,16.912,1.6912,2.08,10.42421743,19.95353621
,18.648,1.8648,2.08,11.494253,18.09599981
,23.429,2.3429,2.08,14.44116546,14.40326964
,14.682,1.4682,2.08,9.049690181,22.98421226
,17.604,1.7604,2.08,10.85075235,19.16917771
,21.522,2.1522,2.08,13.26572893,15.67950025
,17.094,1.7094,2.08,10.53639858,19.7410907
,20.86,2.086,2.08,12.85768541,16.17709513
,28.042,2.8042,2.08,17.28452609,12.03388504
,35.945,3.5945,2.08,22.1557767,9.388070785
,15.432,1.5432,2.08,9.511975131,21.86717239
,19.744,1.9744,2.08,12.1698054,17.09148118
,24.288,2.4288,2.08,14.97063582,13.89386546
,17.776,1.7776,2.08,10.95676969,18.98369737
,17.85,1.785,2.08,11.00238181,18.90499744
,25.298,2.5298,2.08,15.59317955,13.33916532
,30.807,3.0807,2.08,18.98881661,10.95381583
,18.891,1.8891,2.08,11.64403332,17.86322611
,20.421,2.0421,2.08,12.58709462,16.52486188
,14.92,1.492,2.08,9.196388605,22.61757402
,19.432,1.9432,2.08,11.97749486,17.36590183
,22.616,2.2616,2.08,13.94004857,14.9210384
,20.848,2.0848,2.08,12.85028885,16.18640658
,15.365,1.5365,2.08,9.470677676,21.9625255
,20.958,2.0958,2.08,12.91809064,16.10145073
,17.031,1.7031,2.08,10.49756664,19.81411569
,25.935,2.5935,2.08,15.98581357,13.0115367
,16.656,1.6656,2.08,10.26642417,20.2602188
,14.924,1.4924,2.08,9.198854125,22.61151195
,20.972,2.0972,2.08,12.92671996,16.0907021
,22.008,2.2008,2.08,13.56528957,15.33325174
,19.053,1.9053,2.08,11.74388687,17.71134228
,23.886,2.3886,2.08,14.72285109,14.12769842
,33.264,3.3264,2.08,20.5032621,10.14472716
,19.376,1.9376,2.08,11.94297759,17.4160923
,16.48,1.648,2.08,10.1579413,20.47659007
,20.584,2.0584,2.08,12.68756455,16.39400527
,29.072,2.9072,2.08,17.91939742,11.60753317
,16.268,1.6268,2.08,10.02726876,20.74343523
,24.983,2.4983,2.08,15.39901987,13.50735318
,32.508,3.2508,2.08,20.03727887,10.38065105
,14.88,1.488,2.08,9.171733408,22.67837395
,18.272,1.8272,2.08,11.26249414,18.46837809
,27.12,2.712,2.08,16.71622379,12.44300164
,16.954,1.6954,2.08,10.45010539,19.90410548
,25.935,2.5935,2.08,15.98581357,13.0115367
,,,,,
DIESEL,16.46,0,2.08,9.7937,21.23814289
,20.11,0,2.08,11.96545,17.38338299
,28.18,0,2.08,16.7671,12.40524599
,18.05,0,2.08,10.73975,19.36730371
,20.49,0,2.08,12.19155,17.06099717
,27.43,0,2.08,16.32085,12.74443427
,41.24,0,2.08,24.5378,8.476717554
,19.13,0,2.08,11.38235,18.27390653
,26.28,0,2.08,15.6366,13.3021245
,33.83,0,2.08,20.12885,10.3334269
,17.658,0,2.08,10.50651,19.79724951
,22.041,0,2.08,13.114395,15.86043428
,27.756,0,2.08,16.51482,12.59474823
,26.955,0,2.08,16.038225,12.96901621
,15.264,0,2.08,9.08208,22.90224266
,18.224,0,2.08,10.84328,19.18238762
,22.4,0,2.08,13.328,15.6062425
,16.912,0,2.08,10.06264,20.67051986
,18.648,0,2.08,11.09556,18.74623723
,23.429,0,2.08,13.940255,14.92081745
,14.682,0,2.08,8.73579,23.81009617
,17.604,0,2.08,10.47438,19.85797727
,21.522,0,2.08,12.80559,16.24290642
,17.094,0,2.08,10.17093,20.45044062
,20.86,0,2.08,12.4117,16.7583812
,28.042,0,2.08,16.68499,12.46629456
,35.945,0,2.08,21.387275,9.725409151
,15.432,0,2.08,9.18204,22.65291809
,19.744,0,2.08,11.74768,17.70562358
,24.288,0,2.08,14.45136,14.39310902
,17.776,0,2.08,10.57672,19.66583213
,17.85,0,2.08,10.62075,19.58430431
,25.298,0,2.08,15.05231,13.81847703
,30.807,0,2.08,18.330165,11.34741559
,18.891,0,2.08,11.240145,18.50509936
,20.421,0,2.08,12.150495,17.11864414
,14.92,0,2.08,8.8774,23.43028364
,19.432,0,2.08,11.56204,17.9899049
,22.616,0,2.08,13.45652,15.45719101
,20.848,0,2.08,12.40456,16.76802724
,15.365,0,2.08,9.142175,22.75169749
,20.958,0,2.08,12.47001,16.6800187
,17.031,0,2.08,10.133445,20.5260896
,25.935,0,2.08,15.431325,13.47907584
,16.656,0,2.08,9.91032,20.98822238
,14.924,0,2.08,8.87978,23.42400375
,20.972,0,2.08,12.47834,16.66888384
,22.008,0,2.08,13.09476,15.88421628
,19.053,0,2.08,11.336535,18.34775793
,23.886,0,2.08,14.21217,14.63534422
,33.264,0,2.08,19.79208,10.50925421
,19.376,0,2.08,11.52872,18.04189884
,16.48,0,2.08,9.8056,21.21236844
,20.584,0,2.08,12.24748,16.9830855
,29.072,0,2.08,17.29784,12.02462273
,16.268,0,2.08,9.67946,21.48880206
,24.983,0,2.08,14.864885,13.99270832
,32.508,0,2.08,19.34226,10.75365547
,14.88,0,2.08,8.8536,23.49326828
,18.272,0,2.08,10.87184,19.13199606
,27.12,0,2.08,16.1364,12.8901118
,16.954,0,2.08,10.08763,20.61931296
,25.935,0,2.08,15.431325,13.47907584
,,,,,
CNSL,16.46,0,2.08,9.408645733,22.10732617
,20.11,0,2.08,11.49501007,18.09480799
,28.18,0,2.08,16.10787587,12.91293785
,18.05,0,2.08,10.31750033,20.15992181
