fuel,fuel1,fuel2,brake power ,heat power ,efficiency
BUTANOL 10,16.46,1.646,1.04,10.1456137,10.25073525
,20.11,2.011,1.04,12.39540046,8.39020896
,28.18,2.818,1.04,17.36958652,5.987477012
,18.05,1.805,1.04,11.1256578,9.347761894
,20.49,2.049,1.04,12.62962483,8.234607232
,27.43,2.743,1.04,16.90730157,6.15118856
,41.24,4.124,1.04,25.41950845,4.091345834
,12.81,1.281,1.04,7.895826946,13.17151461
,19.13,1.913,1.04,11.79134812,8.820026251
,8.91,0.891,1.04,5.491945206,18.93682404
,8.37,0.837,1.04,5.159100042,20.15855462
,26.28,2.628,1.04,16.19846465,6.420361575
,33.83,3.383,1.04,20.85213314,4.987499326
,17.658,1.7658,1.04,10.88403686,9.555278185
,22.041,2.2041,1.04,13.58563011,7.655147325
,27.756,2.7756,1.04,17.10824143,6.078941569
,26.955,2.6955,1.04,16.6145211,6.259584574
,15.264,1.5264,1.04,9.408423302,11.05392441
,18.224,1.8224,1.04,11.23290791,9.258510875
,22.4,2.24,1.04,13.80691051,7.532459919
,16.912,1.6912,1.04,10.42421743,9.976768105
,18.648,1.8648,1.04,11.494253,9.047999903
,23.429,2.3429,1.04,14.44116546,7.20163482
,9.324,0.9324,1.04,5.747126498,18.09599981
,11.994,1.1994,1.04,7.39286092,14.06762566
,14.682,1.4682,1.04,9.049690181,11.49210613
,17.604,1.7604,1.04,10.85075235,9.584588854
,21.522,2.1522,1.04,13.26572893,7.839750125
,17.094,1.7094,1.04,10.53639858,9.870545349
,20.86,2.086,1.04,12.85768541,8.088547564
,28.042,2.8042,1.04,17.28452609,6.016942522
,35.945,3.5945,1.04,22.1557767,4.694035393
,13.992,1.3992,1.04,8.624388027,12.05882663
,15.432,1.5432,1.04,9.511975131,10.9335862
,19.744,1.9744,1.04,12.1698054,8.545740589
,24.288,2.4288,1.04,14.97063582,6.946932732
,17.776,1.7776,1.04,10.95676969,9.491848683
,10.346,1.0346,1.04,6.37706679,16.30843826
,12.936,1.2936,1.04,7.973490818,13.04322064
,17.85,1.785,1.04,11.00238181,9.452498722
,25.298,2.5298,1.04,15.59317955,6.669582662
,30.807,3.0807,1.04,18.98881661,5.476907917
,18.891,1.8891,1.04,11.64403332,8.931613053
,20.421,2.0421,1.04,12.58709462,8.262430938
,12.504,1.2504,1.04,7.707214686,13.49385014
,14.92,1.492,1.04,9.196388605,11.30878701
,19.432,1.9432,1.04,11.97749486,8.682950916
,22.616,2.2616,1.04,13.94004857,7.460519198
,20.848,2.0848,1.04,12.85028885,8.09320329
,10.143,1.0143,1.04,6.251941664,16.63483212
,12.621,1.2621,1.04,7.779331139,13.36875859
,15.365,1.5365,1.04,9.470677676,10.98126275
,20.958,2.0958,1.04,12.91809064,8.050725365
,10.528,1.0528,1.04,6.489247938,16.02651047
,13.944,1.3944,1.04,8.59480179,12.10033722
,11.277,1.1277,1.04,6.950916508,14.96205571
,12.978,1.2978,1.04,7.999378775,13.00100957
,17.031,1.7031,1.04,10.49756664,9.907057847
,25.935,2.5935,1.04,15.98581357,6.505768351
,11.416,1.1416,1.04,7.036593319,14.77987931
,13.968,1.3968,1.04,8.609594909,12.07954626
,16.656,1.6656,1.04,10.26642417,10.1301094
,9.555,0.9555,1.04,5.889510263,17.6585141
,11.963,1.1963,1.04,7.373753142,14.10407943
,14.924,1.4924,1.04,9.198854125,11.30575598
,20.972,2.0972,1.04,12.92671996,8.045351049
,22.008,2.2008,1.04,13.56528957,7.666625872
,19.053,1.9053,1.04,11.74388687,8.855671138
,23.886,2.3886,1.04,14.72285109,7.063849208
,33.264,3.3264,1.04,20.5032621,5.072363582
,12.936,1.2936,1.04,7.973490818,13.04322064
,19.376,1.9376,1.04,11.94297759,8.708046149
,10.843,1.0843,1.04,6.683407617,15.5609243
,12.117,1.2117,1.04,7.468675652,13.92482481
,13.272,1.3272,1.04,8.180594475,12.71301252
,12.488,1.2488,1.04,7.697352607,13.51113887
,16.48,1.648,1.04,10.1579413,10.23829504
,20.584,2.0584,1.04,12.68756455,8.197002633
,29.072,2.9072,1.04,17.91939742,5.803766586
,10.409,1.0409,1.04,6.415898726,16.20973217
,12.425,1.2425,1.04,7.658520672,13.57964605
,16.268,1.6268,1.04,10.02726876,10.37171762
,24.983,2.4983,1.04,15.39901987,6.753676588
,32.508,3.2508,1.04,20.03727887,5.190325526
,12.424,1.2424,1.04,7.657904292,13.58073907
,14.88,1.488,1.04,9.171733408,11.33918698
,18.272,1.8272,1.04,11.26249414,9.234189043
,27.12,2.712,1.04,16.71622379,6.221500818
,11.375,1.1375,1.04,7.011321742,14.83315184
,13.811,1.3811,1.04,8.512823259,12.21686353
,16.954,1.6954,1.04,10.45010539,9.952052742
,25.935,2.5935,1.04,15.98581357,6.505768351
,,,,,
DIESEL,16.46,0,1.04,9.7937,10.61907144
,20.11,0,1.04,11.96545,8.691691495
,28.18,0,1.04,16.7671,6.202622994
,18.05,0,1.04,10.73975,9.683651854
,20.49,0,1.04,12.19155,8.530498583
,27.43,0,1.04,16.32085,6.372217133
,41.24,0,1.04,24.5378,4.238358777
,12.81,0,1.04,7.62195,13.64480218
,19.13,0,1.04,11.38235,9.136953265
,8.91,0,1.04,5.30145,19.61727452
,8.37,0,1.04,4.98015,20.88290513
,26.28,0,1.04,15.6366,6.651062251
,33.83,0,1.04,20.12885,5.166713449
,17.658,0,1.04,10.50651,9.898624757
,22.041,0,1.04,13.114395,7.930217139
,27.756,0,1.04,16.51482,6.297374116
,26.955,0,1.04,16.038225,6.484508105
,15.264,0,1.04,9.08208,11.45112133
,18.224,0,1.04,10.84328,9.591193809
,22.4,0,1.04,13.328,7.803121248
,16.912,0,1.04,10.06264,10.33525993
,18.648,0,1.04,11.09556,9.373118617
,23.429,0,1.04,13.940255,7.460408723
,9.324,0,1.04,5.54778,18.74623723
,11.994,0,1.04,7.13643,14.57311289
,14.682,0,1.04,8.73579,11.90504808
,17.604,0,1.04,10.47438,9.928988637
,21.522,0,1.04,12.80559,8.121453209
,17.094,0,1.04,10.17093,10.22522031
,20.86,0,1.04,12.4117,8.379190602
,28.042,0,1.04,16.68499,6.233147278
