fuel,fuel1,fuel2,brake power ,heat power ,efficiency
Butanol 10,28.18,2.818,5.2,17.36958652,29.93738506
,27.43,2.743,5.2,16.90730157,30.7559428
,26.28,2.628,5.2,16.19846465,32.10180787
,33.83,3.383,5.2,20.85213314,24.93749663
,27.756,2.7756,5.2,17.10824143,30.39470785
,26.955,2.6955,5.2,16.6145211,31.29792287
,28.042,2.8042,5.2,17.28452609,30.08471261
,35.945,3.5945,5.2,22.1557767,23.47017696
,24.288,2.4288,5.2,14.97063582,34.73466366
,25.298,2.5298,5.2,15.59317955,33.34791331
,30.807,3.0807,5.2,18.98881661,27.38453958
,25.935,2.5935,5.2,15.98581357,32.52884176
,33.264,3.3264,5.2,20.5032621,25.36181791
,29.072,2.9072,5.2,17.91939742,29.01883293
,24.983,2.4983,5.2,15.39901987,33.76838294
,32.508,3.2508,5.2,20.03727887,25.95162763
,27.12,2.712,5.2,16.71622379,31.10750409
,25.935,2.5935,5.2,15.98581357,32.52884176
,,,,,
Diesel,28.18,0,5.2,16.7671,31.01311497
,27.43,0,5.2,16.32085,31.86108567
,28.18,0,5.2,15.6366,33.25531126
,33.83,0,5.2,20.12885,25.83356724
,27.756,0,5.2,16.51482,31.48687058
,26.955,0,5.2,16.038225,32.42254052
,28.042,0,5.2,16.68499,31.16573639
,35.945,0,5.2,21.387275,24.31352288
,25.298,0,5.2,15.05231,34.54619258
,30.807,0,5.2,18.330165,28.36853896
,25.935,0,5.2,15.431325,33.6976896
,33.264,0,5.2,19.79208,26.27313552
,29.072,0,5.2,17.29784,30.06155682
,24.983,0,5.2,14.864885,34.9817708
,32.508,0,5.2,19.34226,26.88413867
,27.12,0,5.2,16.1364,32.22527949
,25.935,0,5.2,15.431325,33.6976896
,,,,,
CNSL,28.18,0,5.2,16.10787587,32.28234463
,27.43,0,5.2,15.67917087,33.16501902
,26.28,0,5.2,15.0218232,34.6163041
,33.83,0,5.2,19.33745353,26.89082092
,27.756,0,5.2,15.86551464,32.77548896
,26.955,0,5.2,15.4076577,33.74945174
,28.042,0,5.2,16.02899415,32.44121217
,35.945,0,5.2,20.54640163,25.30856786
,30.807,0,5.2,17.60948658,29.52953782
,33.264,0,5.2,19.01392416,27.34837878
,29.072,0,5.2,16.61774901,31.29184341
,32.508,0,5.2,18.58178952,27.98438759
,27.12,0,5.2,15.5019728,33.54411769
,,,,,
CNSOME,28.18,0,5.2,16.34710528,31.8099132
,27.43,0,5.2,15.91203328,32.67967021
,26.28,0,5.2,15.24492288,34.10971666
,33.83,0,5.2,19.62464768,26.49729098
,27.756,0,5.2,16.10114458,32.29584068
,26.955,0,5.2,15.63648768,33.25555014
,28.042,0,5.2,16.26705203,31.96645581
,35.945,0,5.2,20.85155072,24.93819318
,30.807,0,5.2,17.87101747,29.09739195
,25.935,0,5.2,15.04478976,34.56346073
,33.264,0,5.2,19.29631334,26.94815278
,29.072,0,5.2,16.86455091,30.83390733
,32.508,0,5.2,18.85776077,27.574854
,27.12,0,5.2,15.73220352,33.05322102
,25.935,0,5.2,15.04478976,34.56346073
,,,,,
BUTANOL 20,28.18,5.636,5.2,18.63129718,27.91002661
,27.43,5.486,5.2,18.13543228,28.67315166
,26.28,5.256,5.2,17.3751061,29.92787481
,33.83,6.766,5.2,22.36681276,23.24873041
,27.756,5.5512,5.2,18.35096822,28.33637952
,26.955,5.391,5.2,17.82138451,29.17842886
,23.429,4.6858,5.2,15.49015832,33.56970208
,28.042,5.6084,5.2,18.54005803,28.04737715
,24.288,4.8576,5.2,16.05808892,32.38243371
,25.298,5.0596,5.2,16.72585365,31.08959404
,30.807,6.1614,5.2,20.36814663,25.53005972
,22.616,4.5232,5.2,14.95264077,34.77646577
,25.935,5.187,5.2,17.14700824,30.32598997
,23.886,4.7772,5.2,15.79230534,32.9274282
,33.264,6.6528,5.2,21.99260004,23.64431668
,29.072,5.8144,5.2,19.22104583,27.0536788
,24.983,4.9966,5.2,16.5175904,31.48158948
,32.508,6.5016,5.2,21.49276823,24.19418451
,27.12,5.424,5.2,17.93047478,29.00090523
,25.935,5.187,5.2,17.14700824,30.32598997
,,,,,
BUTAOL 30,28.18,8.454,5.2,19.89300783,26.1398379
,27.43,8.229,5.2,19.36356298,26.85456187
,26.28,7.884,5.2,18.55174754,28.02970441
,22.041,6.6123,5.2,15.55932525,33.42047239
,27.756,8.3268,5.2,19.59369501,26.53914944
,26.955,8.0865,5.2,19.02824791,27.32779195
,22.4,6.72,5.2,15.81275285,32.88484964
,23.429,7.0287,5.2,16.53915119,31.4405494
,21.522,6.4566,5.2,15.19294942,34.22640238
,28.042,8.4126,5.2,19.79558998,26.268477
,24.288,7.2864,5.2,17.14554202,30.32858333
,25.298,7.5894,5.2,17.85852775,29.1177418
,30.807,9.2421,5.2,21.74747666,23.91082001
,22.616,6.7848,5.2,15.96523297,32.57077432
,25.935,7.7805,5.2,18.30820291,28.40256919
,22.008,6.6024,5.2,15.53602968,33.47058488
,23.886,7.1658,5.2,16.86175958,30.83901164
,29.072,8.7216,5.2,20.52269424,25.3378038
,24.983,7.4949,5.2,17.63616092,29.48487499
,27.12,8.136,5.2,19.14472578,27.16152773
,25.935,7.7805,5.2,18.30820291,28.40256919
,,,,,
BUTANOL 40,20.11,8.044,5.2,15.09657164,34.4449066
,28.18,11.272,5.2,21.15471849,24.58080453
,20.49,8.196,5.2,15.38183754,33.80610404
,27.43,10.972,5.2,20.59169369,25.2529009
,26.28,10.512,5.2,19.72838899,26.35795554
,22.041,8.8164,5.2,16.54617282,31.4272071
,27.756,11.1024,5.2,20.8364218,24.95630032
,26.955,10.782,5.2,20.23511131,25.69790657
,22.4,8.96,5.2,16.81567403,30.92352999
,23.429,9.3716,5.2,17.58814405,29.56537077
,21.522,8.6088,5.2,16.15655966,32.18506977
,20.86,8.344,5.2,15.65959644,33.20647515
,28.042,11.2168,5.2,21.05112192,24.70177133
,24.288,9.7152,5.2,18.23299512,28.51972462
,25.298,10.1192,5.2,18.99120185,27.38110015
,20.421,8.1684,5.2,15.33003925,33.92033062
,22.616,9.0464,5.2,16.97782517,30.62818676
,20.848,8.3392,5.2,15.65058804,33.22558863
,20.958,8.3832,5.2,15.73316501,33.05120105
,25.935,10.374,5.2,19.46939758,26.7085819
,20.972,8.3888,5.2,15.74367481,33.0291375
,22.008,8.8032,5.2,16.52139973,31.47433077
,23.886,9.5544,5.2,17.93121383,28.99970994
,20.584,8.2336,5.2,15.45240331,33.65172327
,29.072,11.6288,5.2,21.82434265,23.82660538
,24.983,9.9932,5.2,18.75473144,27.72633678
,27.12,10.848,5.2,20.35897677,25.54155869
,25.935,10.374,5.2,19.46939758,26.7085819
,,,,,
METHANOL 10,28.18,2.818,5.2,16.83679853,30.88473138
,27.43,2.743,5.2,16.38869353,31.72919177
,26.28,2.628,5.2,15.7015992,33.11764575
,33.83,3.383,5.2,20.21252287,25.72662519
,27.756,2.7756,5.2,16.58346984,31.35652581
,26.955,2.6955,5.2,16.1048937,32.2883224
,28.042,2.8042,5.2,16.75434721,31.036721
,35.945,3.5945,5.2,21.47617897,24.21287329
,25.298,2.5298,5.2,15.11488039,34.40318327
,30.807,3.0807,5.2,18.40636098,28.25110301
,25.935,2.5935,5.2,15.4954709,33.5581928
,33.264,3.3264,5.2,19.87435296,26.16437381
,29.072,2.9072,5.2,17.36974475,29.93711235
,24.983,2.4983,5.2,14.92667629,34.83695834
,32.508,3.2508,5.2,19.42266312,26.77284762
,27.12,2.712,5.2,16.2034768,32.09187796
,25.935,2.5935,5.2,15.4954709,33.5581928
,,,,,
METANOL 20,28.18,5.636,5.2,17.5657212,29.60311131
,27.43,5.486,5.2,17.0982162,30.41252923
,26.28,5.256,5.2,16.3813752,31.7433667
,33.83,6.766,5.2,21.0875922,24.65905045
,27.756,5.5512,5.2,17.30142504,30.05532774
,26.955,5.391,5.2,16.8021297,30.94845768
,28.042,5.6084,5.2,17.47970028,29.74879384
,35.945,7.189,5.2,22.4059563,23.20811453
,24.288,4.8576,5.2,15.13968192,34.34682464
,25.298,5.0596,5.2,15.76925532,32.97555842
,30.807,6.1614,5.2,19.20323538,27.07877031
,25.935,5.187,5.2,16.1663229,32.16563242
,23.886,4.7772,5.2,14.88909924,34.92487971
,33.264,6.6528,5.2,20.73478176,25.07863386
,29.072,5.8144,5.2,18.12174048,28.69481552
,24.983,4.9966,5.2,15.57290322,33.39133318
,32.508,6.5016,5.2,20.26353672,25.66185791
,27.12,5.424,5.2,16.9049808,30.76016508
,25.935,5.187,5.2,16.1663229,32.16563242
,,,,,
METHANOL 30,28.18,8.454,5.2,18.29464387,28.42361971
,27.43,8.229,5.2,17.80773887,29.20078758
,26.28,7.884,5.2,17.0611512,30.47859983
,33.83,10.149,5.2,21.96266153,23.67654754
,27.756,8.3268,5.2,18.01938024,28.85781825
,26.955,8.0865,5.2,17.4993657,29.71536277
,23.429,7.0287,5.2,15.21026299,34.18744306
,28.042,8.4126,5.2,18.20505335,28.56349773
,24.288,7.2864,5.2,15.76793152,32.97832689
,25.298,7.5894,5.2,16.42363025,31.66169671
,30.807,9.2421,5.2,20.00010978,25.99985729
,25.935,7.7805,5.2,16.8371749,30.884041
,23.886,7.1658,5.2,15.50695044,33.53335022
,33.264,9.9792,5.2,21.59521056,24.07941328
,29.072,8.7216,5.2,18.87373621,27.5515136
,24.983,7.4949,5.2,16.21913015,32.06090555
,32.508,9.7524,5.2,21.10441032,24.63939964
,27.12,8.136,5.2,17.6064848,29.5345724
,25.935,7.7805,5.2,16.8371749,30.884041
,,,,,
METHANOL 40,28.18,11.272,5.2,19.02356653,27.33451685
,27.43,10.972,5.2,18.51726153,28.08190612
,26.28,10.512,5.2,17.7409272,29.31075666
,22.041,8.8164,5.2,14.87929134,34.94790095
,27.756,11.1024,5.2,18.73733544,27.75207829
,26.955,10.782,5.2,18.1966017,28.57676442
,22.4,8.96,5.2,15.12164267,34.38779843
,23.429,9.3716,5.2,15.81629313,32.87748879
,28.042,11.2168,5.2,18.93040641,27.46903519
,24.288,9.7152,5.2,16.39618112,31.71470211
,25.298,10.1192,5.2,17.07800519,30.44852103
,30.807,12.3228,5.2,20.79698418,25.00362531
,22.616,9.0464,5.2,15.26745851,34.05936881
,25.935,10.374,5.2,17.5080269,29.70066261
,23.886,9.5544,5.2,16.12480164,32.24845872
,33.264,13.3056,5.2,22.45563936,23.15676662
,29.072,11.6288,5.2,19.62573195,26.49582708
,24.983,9.9932,5.2,16.86535709,30.83243345
,32.508,13.0032,5.2,21.94528392,23.69529608
,27.12,10.848,5.2,18.3079888,28.40290136
,25.935,10.374,5.2,17.5080269,29.70066261
,,,,,
COCO 10,28.18,2.818,5.2,17.70240406,29.37454134
,27.43,2.743,5.2,17.2312613,30.17770963
,26.28,2.628,5.2,16.5088424,31.4982715
,33.83,3.383,5.2,21.25167954,24.4686543
,27.756,2.7756,5.2,17.43605135,29.82326614
,26.955,2.6955,5.2,16.93287088,30.70950009
,28.042,2.8042,5.2,17.61571379,29.51909903
,35.945,3.5945,5.2,22.58030213,23.02892127
,24.288,2.4288,5.2,15.25748722,34.08162776
,25.298,2.5298,5.2,15.89195947,32.72094929
,30.807,3.0807,5.2,19.35266011,26.86969114
,25.935,2.5935,5.2,16.29211673,31.91727685
,23.886,2.3886,5.2,15.0049547,34.65521959
,33.264,3.3264,5.2,20.8961238,24.88499805
,29.072,2.9072,5.2,18.26274986,28.47325863
,24.983,2.4983,5.2,15.69407951,33.13351379
,32.508,3.2508,5.2,20.4212119,25.46371893
,27.12,2.712,5.2,17.03652229,30.52266132
,25.935,2.5935,5.2,16.29211673,31.91727685
,,,,,
COCO 20,28.18,5.636,5.2,19.29693226,26.94728846
,27.43,5.486,5.2,18.78335173,27.68409
,26.28,5.256,5.2,17.9958616,28.8955323
,22.041,4.4082,5.2,15.09310447,34.45281924
,27.756,5.5512,5.2,19.00658807,27.3589346
,26.955,5.391,5.2,18.45808407,28.171938
,22.4,4.48,5.2,15.33893835,33.90065129
,23.429,4.6858,5.2,16.04357083,32.41173711
,28.042,5.6084,5.2,19.20243344,27.07990118
,24.288,4.8576,5.2,16.63179172,31.26542279
,25.298,5.0596,5.2,17.3234135,30.01717878
,30.807,6.1614,5.2,21.09583364,24.64941698
,22.616,4.5232,5.2,15.48684954,33.57687428
,25.935,5.187,5.2,17.75961455,29.27991474
,22.008,4.4016,5.2,15.07050693,34.50447968
,23.886,4.7772,5.2,16.35651256,31.79161805
,29.072,5.8144,5.2,19.9077507,26.1204798
,24.983,4.9966,5.2,17.10770967,30.3956526
,32.508,6.5016,5.2,22.26063428,23.3596219
,27.12,5.424,5.2,18.57107178,28.00053794
,25.935,5.187,5.2,17.75961455,29.27991474
,,,,,
COCO 30,20.11,6.033,5.2,14.90870368,34.87895468
,28.18,8.454,5.2,20.89146046,24.89055282
,20.49,6.147,5.2,15.19041961,34.23210242
,27.43,8.229,5.2,20.33544217,25.57111843
,26.28,7.884,5.2,19.48288079,26.69009812
,22.041,6.6123,5.2,16.34026543,31.82322846
,27.756,8.3268,5.2,20.57712478,25.27078032
,26.955,8.0865,5.2,19.98329725,26.02173172
,22.4,6.72,5.2,16.60641285,31.3132044
,23.429,7.0287,5.2,17.36926994,29.93793071
,21.522,6.4566,5.2,15.95550078,32.59064114
,20.86,6.258,5.2,15.46472197,33.62491747
,28.042,8.4126,5.2,20.78915309,25.01304395
,24.288,7.2864,5.2,18.00609622,28.87910814
,25.298,7.5894,5.2,18.75486752,27.7261356
,20.421,6.1263,5.2,15.13926593,34.3477684
,22.616,6.7848,5.2,16.76654612,31.01413948
,20.848,6.2544,5.2,15.45582568,33.6442718
,20.958,6.2874,5.2,15.53737503,33.46768673
,25.935,7.7805,5.2,19.22711238,27.0451428
,20.972,6.2916,5.2,15.54775403,33.44534515
,22.008,6.6024,5.2,16.31580063,31.87094595
,23.886,7.1658,5.2,17.70807042,29.36514186
,20.584,6.1752,5.2,15.26010724,34.07577626
,29.072,8.7216,5.2,21.55275154,24.12684984
,24.983,7.4949,5.2,18.52133984,28.07572263
,27.12,8.136,5.2,20.10562128,25.86341366
,25.935,7.7805,5.2,19.22711238,27.0451428
,,,,,
,,,,,
COCO 40,20.11,8.044,5.2,16.04660155,32.4056155
,28.18,11.272,5.2,22.48598865,23.12551198
,20.49,8.196,5.2,16.34981929,31.80463288
,27.43,10.972,5.2,21.8875326,23.75781727
,19.13,7.652,5.2,15.26461898,34.06570453
,26.28,10.512,5.2,20.96989999,24.79744778
,22.041,8.8164,5.2,17.5874264,29.56657718
,27.756,11.1024,5.2,22.1476615,23.47877676
,26.955,10.782,5.2,21.50851044,24.17647663
,22.4,8.96,5.2,17.87388736,29.09271998
,18.648,7.4592,5.2,14.88001123,34.94621019
,23.429,9.3716,5.2,18.69496906,27.81496981
,21.522,8.6088,5.2,17.17329481,30.27957103
,20.86,8.344,5.2,16.6450576,31.24050468
,28.042,11.2168,5.2,22.37587274,23.23931701
,19.744,7.8976,5.2,15.754555,33.00632737
,24.288,9.7152,5.2,19.38040072,26.83123055
,25.298,10.1192,5.2,20.18632154,25.7600177
,18.891,7.5564,5.2,15.07391099,34.49668772
,20.421,8.1684,5.2,16.29476133,31.91209675
,19.432,7.7728,5.2,15.50559728,33.53627664
,22.616,9.0464,5.2,18.0462427,28.81486238
,20.848,8.3392,5.2,16.63548231,31.25848655
,20.958,8.3832,5.2,16.72325586,31.0944235
,25.935,10.374,5.2,20.69461021,25.12731551
,20.972,8.3888,5.2,16.73442704,31.07366621
,22.008,8.8032,5.2,17.56109433,29.61091093
,19.053,7.6212,5.2,15.20317749,34.20337625
,23.886,9.5544,5.2,19.05962828,27.28279861
,19.376,7.7504,5.2,15.46091257,33.63320229
,20.584,8.2336,5.2,16.42482578,31.65939213
,24.983,9.9932,5.2,19.93497,26.08481478
,27.12,10.848,5.2,21.64017077,24.02938524
,25.935,10.374,5.2,20.69461021,25.12731551
,,,,,
COT 10,28.18,2.818,5.2,17.83417891,29.15749599
,27.43,2.743,5.2,17.35952901,29.95472975
,26.28,2.628,5.2,16.6317325,31.26553413
,33.83,3.383,5.2,21.40987482,24.28785802
,27.756,2.7756,5.2,17.5658435,29.60290521
,26.955,2.6955,5.2,17.05891741,30.48259087
,28.042,2.8042,5.2,17.74684333,29.30098556
,24.288,2.4288,5.2,15.37106236,33.82980225
,25.298,2.5298,5.2,16.01025756,32.47917768
,30.807,3.0807,5.2,19.49671929,26.67115386
,25.935,2.5935,5.2,16.41339354,31.68144349
,23.886,2.3886,5.2,15.11665002,34.39915586
,33.264,3.3264,5.2,21.05167236,24.70112545
,29.072,2.9072,5.2,18.39869586,28.26287276
,24.983,2.4983,5.2,15.8109046,32.88869379
,32.508,3.2508,5.2,20.57322527,25.27557023
,27.12,2.712,5.2,17.16334038,30.29713263
,25.935,2.5935,5.2,16.41339354,31.68144349
,,,,,
COT 20,28.18,5.636,5.2,19.56048195,26.58421205
,27.43,5.486,5.2,19.03988715,27.31108624
,26.28,5.256,5.2,18.24164179,28.50620607
,22.041,4.4082,5.2,15.29923998,33.98861647
,27.756,5.5512,5.2,19.26617236,26.99031184
,26.955,5.391,5.2,18.71017711,27.79236118
,22.4,4.48,5.2,15.54843136,33.44388819
,23.429,4.6858,5.2,16.26268743,31.97503502
,21.522,4.3044,5.2,14.93898838,34.80824717
,28.042,5.6084,5.2,19.46469251,26.715038
,24.288,4.8576,5.2,16.858942,30.84416566
,25.298,5.0596,5.2,17.56000967,29.61273996
,30.807,6.1614,5.2,21.383952,24.31730112
,22.616,4.5232,5.2,15.69836266,33.12447363
,25.935,5.187,5.2,18.00216818,28.88540951
,22.008,4.4016,5.2,15.27633381,34.03958086
,23.886,4.7772,5.2,16.57990319,31.36327119
,29.072,5.8144,5.2,20.1796427,25.76854346
,24.983,4.9966,5.2,17.34135985,29.98611438
,32.508,6.5016,5.2,22.56466101,23.0448842
,27.12,5.424,5.2,18.82470797,27.62327048
,,,,,
COT 30,20.11,6.033,5.2,15.19081782,34.23120507
,28.18,8.454,5.2,21.28678499,24.42830141
,20.49,6.147,5.2,15.4778646,33.59636573
,27.43,8.229,5.2,20.72024529,25.09622799
,26.28,7.884,5.2,19.85155109,26.19442671
,22.041,6.6123,5.2,16.6494687,31.23222784
